Textos_espanol,sdg,palabras
"1. 1. Introducción: Las Estructuras del Derecho Penal 2. El Estándar de la Persona Razonable en el Derecho Penal 3. La Responsabilidad Penal de los Delincuentes Suerte resultante y responsabilidad penal 4. 4. Criminalización del sadomasoquismo: negación de lo erótico, instanciación de la violencia 5. Constitucionalismo y límites del Derecho Penal 6. Delincuencia internacional: contexto y contraste Forma jurídica y juicio moral: Eutanasia y suicidio asistido 8. Derecho anormal: La teratología como lógica de criminalización 9. Tensiones de la criminalización: Desierto Empírico, Cambio de Normas y Reforma de la Violación 10. Delitos de Preparación, Intereses de Seguridad y Libertad Política Delitos de preparación, intereses de seguridad y libertad política ",16,one one introduccion estructur derech penal two estand person razon derech penal thre respons penal delincuent suert result respons penal four four criminaliz sadomasoqu negacion erot instanci violenci fiv constitucional limit derech penal six delincuent internacional context contr form jurid juici moral eutanasi suicidi asist eight derech anormal teratologi logic criminaliz nin tension criminaliz desiert empir cambi norm reform violacion ten delit prepar interes segur libert polit delit prepar interes segur libert polit one one introduccion estructuras derecho penal two estandar persona razonable derecho penal three responsabilidad penal delincuentes suerte resultante responsabilidad penal four four criminalizacion sadomasoquismo negacion erotico instanciacion violencia five constitucionalismo limit derecho penal six delincuencia internacional contexto contraste forma juridica juicio moral eutanasia suicidio asistido eight derecho anormal teratologia logica criminalizacion nine tensiones criminalizacion desierto empirico cambio normas reforma violacion ten delitos preparacion inter seguridad libertad politica delitos preparacion inter seguridad libertad politica
"Las aguas subterráneas se han debatido en el contexto de la tarificación y la financiación (OCDE, 2009a y 2009b), la energía (OCDE, 2012b), la gestión de riesgos (OCDE, 2013e) y perspectivas más amplias que abarcan el cambio climático (OCDE, 2013d y 2014a). Las aguas subterráneas también aparecen en las revisiones de las reformas del agua a nivel nacional (por ejemplo, Fuentes, 2011, OCDE, 2013b). Todos estos informes incluyen secciones, subsecciones, párrafos o ilustraciones que se refieren a las aguas subterráneas, pero no transmiten conclusiones políticas específicamente orientadas a los gestores de tipos concretos de aguas subterráneas, sobre todo en el contexto de la agricultura. En primer lugar, una observación coherente es que las aguas subterráneas están generalmente poco estudiadas y que es necesario realizar una evaluación más profunda de las reservas, el uso y las prácticas de gestión de las aguas subterráneas. ",6,agu subterran debat context tarif financi ocde 2009a 2009b energi ocde 2012b gestion riesg ocde 2013e perspect mas ampli abarc cambi climat ocde 2013d 2014a agu subterran tambi aparec revision reform agu nivel nacional ejempl fuent two thousand and elev ocde 2013b inform inclu seccion subseccion parraf ilustr refier agu subterran transmit conclusion polit especif orient gestor tip concret agu subterran context agricultur prim lug observ coherent agu subterran estan general estudi necesari realiz evalu mas profund reserv uso practic gestion agu subterran aguas subterraneas debatido contexto tarificacion financiacion ocde 2009a 2009b energia ocde 2012b gestion riesgos ocde 2013e perspectivas mas amplias abarcan cambio climatico ocde 2013d 2014a aguas subterraneas tambien aparecen revisiones reformas agua nivel nacional ejemplo fuentes two thousand and eleven ocde 2013b inform incluyen secciones subsecciones parrafos ilustraciones refieren aguas subterraneas transmiten conclusiones politicas especificamente orientadas gestores tipos concretos aguas subterraneas contexto agricultura primer lugar observacion coherente aguas subterraneas estan generalmente estudiadas necesario realizar evaluacion mas profunda reservas uso practicas gestion aguas subterraneas
"La presente contribución evalúa la jurisprudencia del Tribunal de Justicia de las Comunidades Europeas en materia de interpretación de las disposiciones del Convenio de Aarhus relativas al acceso a la justicia. Los casos se han referido al Ã¡mbito temporal de aplicaciÃ³n de las disposiciones sobre el acceso a la justicia, los proyectos ejecutados por actos especÃficos de legislaciÃ³n nacional y su exclusiÃ³n de las obligaciones derivadas del Convenio, las medidas cautelares y el effet utile de las disposiciones sobre el acceso a la justicia, el abanico de posibles motivos de recurso judicial, el papel de los errores de procedimiento, las costas procesales admisibles, el acceso a la justicia de las asociaciones ecologistas en virtud de distintas disposiciones del Convenio y la anulaciÃ³n de un permiso y su relaciÃ³n con el derecho de propiedad. Como también se muestra, esta jurisprudencia es al mismo tiempo relevante -aunque no vinculante- para Suiza como Estado no miembro de la UE, pero parte del Convenio. ",16,present contribucion evalu jurisprudent tribunal justici comun europ materi interpret disposicion conveni aarhus relat acces justici cas refer ambit temporal aplicacia3n disposicion acces justici proyect ejecut actos especaf legislacia3n nacional exclusia3n oblig deriv conveni med cautelar effet util disposicion acces justici aban posibl motiv recurs judicial papel error proced cost procesal admis acces justici asoci ecolog virtud distint disposicion conveni anulacia3n permis relacia3n derech propied tambi muestr jurisprudent mism tiemp relev aunqu vincul suiz miembr ue part conveni presente contribucion evalua jurisprudencia tribunal justicia comunidades europeas materia interpretacion disposiciones convenio aarhus relativas acceso justicia casos referido ambito temporal aplicacia3n disposiciones acceso justicia proyectos ejecutados actos especaficos legislacia3n nacional exclusia3n obligaciones derivadas convenio medidas cautelares effet utile disposiciones acceso justicia abanico posibles motivos recurso judicial papel errores procedimiento costas procesales admisibles acceso justicia asociaciones ecologistas virtud distintas disposiciones convenio anulacia3n permiso relacia3n derecho propiedad tambien muestra jurisprudencia mismo tiempo relevante aunque vinculante suiza miembro ue parte convenio
"Sin embargo, este crédito fiscal expira en 2012. Wemau (2011a) calcula que hasta una quinta parte de la capacidad de generaciÃ³n de energÃa del Estado podrÃa decidir abandonar el mercado en lugar de invertir en las mejoras necesarias, lo que podrÃa aumentar el precio del carbÃ³n en un 65% y ofrecer oportunidades a las fuentes de energÃa renovables. Ahorra aproximadamente 47 000 toneladas de CO2 al aÃ±o y sustituye anualmente mÃ¡s de ocho millones de desplazamientos en vehÃculo privado en la ciudad de Calgary. ",7,embarg credit fiscal expir two thousand and twelv wemau 2011a calcul quint part capac generacia3n energa podra decid abandon merc lug invert mejor necesari podra aument preci carba3n sixtyfiv ofrec oportun fuent energa renov ahorr aproxim fortysev zer tonel co2 aao sustitu anual mas ocho millon desplaz vehacul priv ciud calgary embargo credito fiscal expira two thousand and twelve wemau 2011a calcula quinta parte capacidad generacia3n energaa podraa decidir abandonar mercado lugar invertir mejoras necesarias podraa aumentar precio carba3n sixtyfive ofrecer oportunidades fuentes energaa renovables ahorra aproximadamente fortyseven zero toneladas co2 aao sustituye anualmente mas ocho millones desplazamientos vehaculo privado ciudad calgary
"Este estudio explora las actitudes, comportamientos y percepciones éticas de una muestra de estudiantes de ciencias políticas de Taiwán. Investiga sus intenciones de observar la ética en el ámbito de los derechos digitales, en temas como la libertad de expresión, la libertad de asociación, la igualdad de acceso a la información, la confidencialidad, la seguridad y la protección de la propiedad intelectual en el uso de ordenadores. Basándose en estudios preliminares, se diseñó un cuestionario que se distribuyó a 660 estudiantes de ciencias políticas y administración pública de todas las facultades de Taiwán. Los datos recogidos de 440 muestras válidas se han analizado mediante un modelo de ecuaciones estructurales para poner a prueba los tres conjuntos de hipótesis formuladas por los investigadores en el marco de la teoría del comportamiento planificado. Los resultados muestran que la actitud, la norma subjetiva y el control percibido de la conducta de los encuestados influyen positivamente en la observación personal de la ética de la información. En este sentido, el altruismo, el grupo secundario y la sensación de seguridad tienen gr... ",16,estudi explor actitud comport percepcion etic muestr estudi cienci polit taiw investig intencion observ etic ambit derech digital tem libert expresion libert asoci iguald acces inform confidencial segur proteccion propied intelectual uso orden bas estudi preliminar disen cuestionari distribu six hundred and sixty estudi cienci polit administr public tod facultad taiw dat recog four hundred and forty muestr val analiz mediant model ecuacion estructural pon prueb tres conjunt hipotesis formul investig marc teori comport planific result muestr actitud norm subjet control percib conduct encuest influ posit observ personal etic inform altruism grup secundari sensacion segur gr estudio explora actitudes comportamientos percepciones eticas muestra estudiantes ciencias politicas taiwan investiga intenciones observar etica ambito derechos digitales temas libertad expresion libertad asociacion igualdad acceso informacion confidencialidad seguridad proteccion propiedad intelectual uso ordenadores basandose estudios preliminares diseno cuestionario distribuyo six hundred and sixty estudiantes ciencias politicas administracion publica todas facultades taiwan datos recogidos four hundred and forty muestras validas analizado mediante modelo ecuaciones estructurales poner prueba tres conjuntos hipotesis formuladas investigadores marco teoria comportamiento planificado resultados muestran actitud norma subjetiva control percibido conducta encuestados influyen positivamente observacion personal etica informacion altruismo grupo secundario sensacion seguridad gr
"Desde los tratados de paz de Westfalia de 1648 hasta la Carta de las Naciones Unidas de 1945, el derecho internacional pÃºblico ha evolucionado como un sistema de derechos y obligaciones recÃprocos entre Estados basado en la igualdad soberana y la no intervenciÃ³n en los asuntos internos de los Estados.1 La Carta de las Naciones Unidas, centrada en los Estados, y su sistema de seguridad colectiva establecido por las potencias vencedoras de la Segunda Guerra Mundial,2 afirman su prioridad jurÃdica sobre otros tratados internacionales en conflicto.3 Sin embargo, el enfoque unilateral del tradicional ""derecho internacional de los Estados"" sobre la libertad y el poder de los gobiernos, en lugar de sobre los derechos humanos de sus ciudadanos, es cada vez mÃ¡s cuestionado por los parlamentos nacionales y los grupos de la sociedad civil por ser incompatible con el reconocimiento universal de los derechos humanos inalienables y con la necesidad de una legislaciÃ³n democrÃ¡tica que proteja los derechos humanos y la ""paz democrÃ¡tica"".4 ",16,trat paz westfali one thousand six hundred and fortyeight cart nacion unid one thousand nine hundred and fortyfiv derech internacional paoblic evolucion sistem derech oblig recaproc bas iguald soberan intervencia3n asunt intern estados1 cart nacion unid centr sistem segur colect establec potenci vencedor segund guerr mundial2 afirm priorid jurad trat internacional conflicto3 embarg enfoqu unilateral tradicional derech internacional libert pod gobi lug derech human ciudadan cad vez mas cuestion parlament nacional grup socied civil ser incompat reconoc universal derech human inalien neces legislacia3n democrat protej derech human paz democrat 4 tratados paz westfalia one thousand six hundred and fortyeight carta naciones unidas one thousand nine hundred and fortyfive derecho internacional paoblico evolucionado sistema derechos obligaciones recaprocos basado igualdad soberana intervencia3n asuntos internos estados1 carta naciones unidas centrada sistema seguridad colectiva establecido potencias vencedoras segunda guerra mundial2 afirman prioridad juradica tratados internacionales conflicto3 embargo enfoque unilateral tradicional derecho internacional libertad poder gobiernos lugar derechos humanos ciudadanos cada vez mas cuestionado parlamentos nacionales grupos sociedad civil ser incompatible reconocimiento universal derechos humanos inalienables necesidad legislacia3n democratica proteja derechos humanos paz democratica 4
"La existencia o creación de vínculos entre los ámbitos políticos proporcionaría una arquitectura institucional coherente y mejoraría la eficacia de la política de aguas. También garantizaría que los planes de inversión reflejaran mejor las prioridades de la cuenca y que el gasto público en todos los sectores se ajustara mejor a los objetivos de la política de aguas. El potencial de coherencia política en el ámbito de las cuencas hidrográficas podría mejorarse mediante la participación sistemática de los organismos y consejos de cuenca; se trata de un ámbito que hay que seguir explotando. En particular, la Agenda prevé la creación de una Secretaría de Ordenamiento Territorial para una estrategia de ordenamiento territorial a largo plazo, un Observatorio Nacional de Ordenamiento Territorial Sustentable y un Instituto Nacional de Planeación del Desarrollo para asegurar la armonización a largo plazo entre las diferentes políticas de desarrollo sectorial y territorial en México. Tales herramientas ayudarían a dejar atrás las tradicionales discusiones bilaterales ad hoc entre la CONAGUA y otras agencias (CONAFOR, SEDESOL, SAGARPA, etc.). La actual configuración institucional para tratar las cuestiones del cambio climático podría servir de ejemplo para movilizar a instituciones clave de la administración pública federal hacia la coherencia política (véase el recuadro 1.10). ",6,existent creacion vincul ambit polit proporcionari arquitectur institucional coherent mejorari eficaci polit agu tambi garantizari plan inversion reflej mejor prioridad cuenc gast public sector ajust mejor objet polit agu potencial coherent polit ambit cuenc hidrograf podri mejor mediant particip sistemat organ consej cuenc trat ambit segu explot particul agend prev creacion secretari orden territorial estrategi orden territorial larg plaz observatori nacional orden territorial sustent institut nacional planeacion desarroll asegur armoniz larg plaz diferent polit desarroll sectorial territorial mexic tal herramient ayudari dej atras tradicional discusion bilateral ad hoc conagu agenci conafor sedesol sagarp etc actual configur institucional trat cuestion cambi climat podri serv ejempl moviliz institu clav administr public federal haci coherent polit veas recuadr 110 existencia creacion vinculos ambitos politicos proporcionaria arquitectura institucional coherente mejoraria eficacia politica aguas tambien garantizaria plan inversion reflejaran mejor prioridades cuenca gasto publico sectores ajustara mejor objetivos politica aguas potencial coherencia politica ambito cuencas hidrograficas podria mejorarse mediante participacion sistematica organismos consejos cuenca trata ambito seguir explotando particular agenda preve creacion secretaria ordenamiento territorial estrategia ordenamiento territorial largo plazo observatorio nacional ordenamiento territorial sustentable instituto nacional planeacion desarrollo asegurar armonizacion largo plazo diferentes politicas desarrollo sectorial territorial mexico tales herramientas ayudarian dejar atras tradicionales discusiones bilaterales ad hoc conagua agencias conafor sedesol sagarpa etc actual configuracion institucional tratar cuestiones cambio climatico podria servir ejemplo movilizar instituciones clave administracion publica federal hacia coherencia politica vease recuadro 110
"La seguridad marítima es una de las principales preocupaciones de Malasia como nación marítima. No obstante, la cuestión crucial es si existen leyes adecuadas para hacer frente a los principales delitos marítimos que requieren medidas policiales eficaces. El documento constata que ningún delito marítimo está tipificado en el Código Penal, la principal ley penal de Malasia, y que no existe ni una ley antipiratería ni ninguna otra ley penal especial en Malasia para combatir los delitos marítimos. La lamentable falta de aplicación de una ley más apropiada para perseguir a los piratas somalíes demuestra bien la urgente necesidad en Malasia de una reforma legislativa que pueda combatir eficazmente los delitos marítimos. Sobre la base de un análisis de las leyes de determinados países de common law, el documento concluye con sugerencias sobre una propuesta de ley de delitos marítimos para recomendar al Gobierno de Malasia. ",16,segur maritim principal preocup malasi nacion maritim obstant cuestion crucial si exist ley adecu hac frent principal delit marit requier med policial eficac document constat ningun delit maritim tipific codig penal principal ley penal malasi exist ley antipirateri ningun ley penal especial malasi combat delit marit lament falt aplic ley mas apropi persegu pirat somali demuestr bien urgent neces malasi reform legisl pued combat eficaz delit marit bas analisis ley determin pais common law document conclu sugerent propuest ley delit marit recomend gobiern malasi seguridad maritima principales preocupaciones malasia nacion maritima obstante cuestion crucial si existen leyes adecuadas hacer frente principales delitos maritimos requieren medidas policiales eficaces documento constata ningun delito maritimo tipificado codigo penal principal ley penal malasia existe ley antipirateria ninguna ley penal especial malasia combatir delitos maritimos lamentable falta aplicacion ley mas apropiada perseguir piratas somalies demuestra bien urgente necesidad malasia reforma legislativa pueda combatir eficazmente delitos maritimos base analisis leyes determinados paises common law documento concluye sugerencias propuesta ley delitos maritimos recomendar gobierno malasia
"El Derecho Penal Internacional [DPI] contiene una serie de principios generales, que constituyen los fundamentos y las condiciones para considerar a los individuos penalmente responsables de crímenes de derecho internacional (genocidio, crímenes de lesa humanidad, crímenes de guerra y crimen de agresión), y otros crímenes contra la paz y la seguridad de la humanidad. La mayoría de los principios generales de la LCI se han aplicado adecuadamente en la actual (segunda) edición del Código Penal de la República de Kazajstán. Este documento evalÃºa la calidad e identifica las lagunas en la implementaciÃ³n del CÃ³digo Penal de KazajstÃ¡n, con el fin de sugerir nuevas mejoras al mismo. ",16,derech penal internacional dpi contien seri principi general constitu fundament condicion consider individu penal respons crimen derech internacional genocidi crimen les human crimen guerr crim agresion crimen paz segur human mayori principi general lci aplic adecu actual segund edicion codig penal republ kazajst document evalao calid identif lagun implementacia3n ca3dig penal kazajst fin suger nuev mejor mism derecho penal internacional dpi contiene serie principios general constituyen fundamentos condiciones considerar individuos penalmente responsables crimenes derecho internacional genocidio crimenes lesa humanidad crimenes guerra crimen agresion crimenes paz seguridad humanidad mayoria principios general lci aplicado adecuadamente actual segunda edicion codigo penal republica kazajstan documento evalaoa calidad identifica lagunas implementacia3n ca3digo penal kazajstan fin sugerir nuevas mejoras mismo
"El proyecto de gasoducto pretende establecer acuerdos de interconexión de electricidad y gas natural en la ASEAN para garantizar una mayor seguridad y sostenibilidad del suministro energético en la región, al tiempo que se conectan los gasoductos y terminales de regasificación existentes y previstos, minimizando el impacto medioambiental. Esta labor está dirigida por el Consejo del Petróleo de la ASEAN, integrado por el responsable de la compañía petrolera nacional de cada país miembro. La asociación se centra en la cooperación económica regional y la capacitación institucional, con el objetivo de promover el desarrollo de los recursos energéticos (incluida la energía hidroeléctrica), facilitar el comercio de energía en la región, desarrollar recursos energéticos renovables y alternativos y promover la eficiencia y la conservación energéticas. ",7,proyect gasoduct pretend establec acuerd interconexion electr gas natural ase garantiz mayor segur sostenibil suministr energet region tiemp conect gasoduct terminal regasif existent previst minimiz impact medioambiental labor dirig consej petrole ase integr respons compani petroler nacional cad pais miembr asoci centr cooper econom regional capacit institucional objet promov desarroll recurs energet inclu energi hidroelectr facilit comerci energi region desarroll recurs energet renov altern promov eficient conserv energet proyecto gasoducto pretende establecer acuerdos interconexion electricidad gas natural asean garantizar mayor seguridad sostenibilidad suministro energetico region tiempo conectan gasoductos terminales regasificacion existentes previstos minimizando impacto medioambiental labor dirigida consejo petroleo asean integrado responsable compania petrolera nacional cada pais miembro asociacion centra cooperacion economica regional capacitacion institucional objetivo promover desarrollo recursos energeticos incluida energia hidroelectrica facilitar comercio energia region desarrollar recursos energeticos renovables alternativos promover eficiencia conservacion energeticas
